1.375,-0.0,1.25,1.0,0.625,1.25,-0.0,1.5,0.375,1.125,0.75,0.75,-0.0,0.25,0.5,1.0,0.375,-0.0,-0.0,0.25,0.875,-0.0,-0.0,3.125,0.5,-0.0,0.125,0.25,0.875,0.375,1.25,0.875,-0.0,3.75,-0.0,0.75,-0.0,0.625,0.125,0.875,0.375,0.25,0.5,-0.0,0.125,-0.0,1.625,1.125,0.625,0.375,2.375,-0.0,-0.0,0.0,1.5,0.5,0.5,0.125,-0.0,0.5,0.875,0.5,0.375,1.0
1.125,0.375,0.75,-0.0,0.25,-0.0,0.125,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,0.5,0.125,0.625,0.75,0.75,0.0,-0.0,1.625,-0.0,-0.0,-0.0,-0.0,0.375,-0.0,0.75,0.375,0.125,2.375,0.5,1.125,-0.0,-0.0,0.125,-0.0,-0.0,1.25,0.25,-0.0,0.25,0.5,-0.0,-0.0,1.125,1.125,-0.0,-0.0,-0.0,0.125,-0.0,0.75,-0.0,1.125,-0.0,0.875,0.125,-0.0,-0.0,0.125,-0.0,-0.0
1.0,0.375,0.75,-0.0,0.375,0.0,-0.0,-0.0,-0.0,1.625,-0.0,-0.0,-0.0,-0.0,0.125,0.375,0.75,0.75,1.0,-0.0,-0.0,1.5,-0.0,0.25,-0.0,-0.0,1.0,-0.0,0.5,0.125,0.0,2.75,0.75,0.75,-0.0,-0.0,-0.0,-0.0,-0.0,1.125,0.375,-0.0,0.375,-0.0,-0.0,-0.0,1.0,1.5,-0.0,-0.0,-0.0,-0.0,-0.0,0.75,-0.0,1.125,-0.0,1.125,0.125,-0.0,-0.0,-0.0,-0.0,-0.0
0.75,0.375,0.125,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.875,-0.0,-0.0,-0.0,0.875,0.625,0.25,0.875,0.875,1.0,0.125,-0.0,0.5,-0.0,0.875,-0.0,-0.0,0.875,-0.0,0.125,0.625,0.375,3.5,1.25,0.875,-0.0,-0.0,0.5,-0.0,0.375,1.0,1.125,-0.0,0.25,0.375,-0.0,-0.0,0.75,1.375,-0.0,-0.0,-0.0,-0.0,-0.0,0.625,-0.0,1.625,-0.0,1.5,0.125,-0.0,-0.0,0.25,-0.0,-0.0
1.375,0.125,0.875,-0.0,0.25,0.625,0.625,-0.0,-0.0,0.625,0.125,0.125,-0.0,0.125,0.5,0.875,0.75,0.375,1.0,1.0,-0.0,0.75,-0.0,-0.0,-0.0,-0.0,1.375,0.25,0.125,-0.0,0.375,3.5,0.75,1.25,0.25,0.875,0.25,-0.0,0.625,1.0,0.125,-0.0,0.5,0.125,-0.0,-0.0,-0.0,1.375,2.0,-0.0,-0.0,0.625,0.125,0.125,1.0,0.5,-0.0,0.75,-0.0,2.0,-0.0,0.25,-0.0,-0.0
1.0,1.0,0.625,-0.0,0.75,1.25,-0.0,-0.0,-0.0,1.5,0.0,-0.0,-0.0,0.125,0.375,0.25,1.375,0.75,2.25,-0.0,-0.0,1.25,-0.0,0.625,-0.0,-0.0,1.25,0.25,0.875,0.75,0.125,3.375,1.0,1.125,-0.0,-0.0,-0.0,-0.0,-0.0,0.875,0.375,-0.0,0.25,0.5,-0.0,-0.0,1.875,1.625,-0.0,-0.0,-0.0,0.375,-0.0,0.625,-0.0,0.625,-0.0,0.875,0.125,3.375,-0.0,0.125,-0.0,-0.0
1.0,0.375,0.625,0.25,0.0,-0.0,-0.0,0.25,-0.0,1.625,-0.0,-0.0,-0.0,0.125,-0.0,0.125,1.375,0.5,0.625,0.125,-0.0,1.125,-0.0,0.625,-0.0,-0.0,-0.0,-0.0,0.75,-0.0,0.375,1.75,1.0,1.125,0.125,-0.0,0.125,-0.0,-0.0,0.875,0.125,0.125,0.25,-0.0,-0.0,-0.0,1.875,1.375,-0.0,-0.0,-0.0,0.125,-0.0,0.375,0.125,0.375,-0.0,0.75,0.25,0.0,-0.0,0.125,-0.0,-0.0
0.875,0.25,0.75,0.5,-0.0,-0.0,-0.0,0.5,-0.0,1.875,-0.0,-0.0,-0.0,0.125,-0.0,0.375,1.125,0.375,0.5,-0.0,-0.0,1.25,-0.0,0.5,-0.0,-0.0,-0.0,-0.0,1.0,0.5,0.25,0.75,0.75,1.375,-0.0,-0.0,0.25,-0.0,-0.0,0.875,0.125,0.125,0.375,0.25,-0.0,-0.0,1.875,1.0,-0.0,-0.0,-0.0,0.25,-0.0,0.375,0.375,0.25,-0.0,0.5,0.125,0.125,0.25,0.25,-0.0,-0.0
0.875,0.5,0.625,0.625,-0.0,-0.0,0.0,0.75,-0.0,2.125,-0.0,-0.0,-0.0,0.125,-0.0,0.5,1.125,0.375,0.25,0.25,-0.0,1.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.75,1.5,0.25,-0.0,0.125,-0.0,-0.0,0.75,0.125,0.125,0.25,0.25,0.125,-0.0,1.625,1.25,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,0.5,0.125,-0.0,0.625,0.375,0.0,0.25,0.125,-0.0,0.125
0.75,0.5,0.25,0.75,-0.0,-0.0,-0.0,0.75,-0.0,2.0,-0.0,0.125,-0.0,0.0,0.375,0.5,1.0,0.375,0.0,0.25,-0.0,0.875,-0.0,2.125,-0.0,-0.0,-0.0,-0.0,0.875,0.125,0.125,-0.0,0.625,1.625,0.25,0.125,0.25,-0.0,-0.0,0.75,0.0,-0.0,0.25,0.125,0.375,-0.0,1.5,1.875,-0.0,-0.0,-0.0,-0.0,-0.0,0.375,0.75,0.375,-0.0,0.625,0.25,-0.0,0.25,0.25,0.125,0.375
0.75,0.375,0.125,0.625,-0.0,-0.0,0.0,0.75,-0.0,2.0,-0.0,0.125,-0.0,-0.0,-0.0,0.25,0.5,0.25,-0.0,0.25,-0.0,0.75,-0.0,1.625,-0.0,-0.0,-0.0,-0.0,0.625,0.25,0.125,-0.0,0.375,1.75,0.25,-0.0,0.125,-0.0,-0.0,0.625,0.125,0.125,0.375,0.25,0.25,-0.0,1.25,1.375,0.25,-0.0,-0.0,-0.0,-0.0,0.375,0.875,0.125,-0.0,0.25,-0.0,-0.0,0.25,0.25,0.125,0.25
0.75,0.25,1.125,0.625,-0.0,0.25,0.375,0.75,-0.0,1.375,0.125,-0.0,-0.0,0.25,0.875,1.0,0.5,0.0,-0.0,0.375,-0.0,0.25,-0.0,1.25,-0.0,-0.0,-0.0,-0.0,0.75,0.625,0.125,-0.0,0.375,1.875,0.25,0.125,0.375,0.125,-0.0,0.75,0.25,0.125,0.25,0.125,0.25,-0.0,1.0,1.0,0.125,0.25,-0.0,-0.0,-0.0,0.125,0.75,0.625,-0.0,0.875,-0.0,1.25,0.25,0.25,0.25,0.25
1.25,0.5,0.75,0.375,0.5,0.5,-0.0,1.75,-0.0,0.875,0.875,-0.0,-0.0,0.75,0.875,0.125,0.625,0.375,-0.0,0.875,-0.0,-0.0,0.5,0.875,0.5,1.75,0.125,-0.0,0.875,0.125,-0.0,0.125,1.25,2.625,0.375,0.625,0.375,0.0,-0.0,0.625,0.75,-0.0,1.125,0.5,0.5,-0.0,0.25,2.0,0.5,0.75,-0.0,0.5,-0.0,0.375,0.75,-0.0,-0.0,0.25,0.125,-0.0,0.375,0.125,0.75,0.5
1.125,0.125,1.0,0.5,0.5,0.625,-0.0,1.5,1.25,0.875,0.125,0.625,-0.0,0.125,0.375,0.5,0.375,0.125,-0.0,0.75,1.0,-0.0,0.125,1.875,-0.0,-0.0,-0.0,-0.0,1.0,0.5,0.625,0.125,-0.0,3.25,0.5,0.5,-0.0,0.5,0.125,1.25,0.375,0.25,0.25,0.625,0.625,-0.0,-0.0,1.375,-0.0,0.625,0.625,-0.0,-0.0,0.125,1.125,0.125,-0.0,-0.0,0.375,-0.0,0.5,0.5,0.5,0.75
0.5,0.0,0.375,0.75,0.0,0.5,-0.0,0.875,0.625,0.75,0.125,0.625,-0.0,-0.0,0.125,0.75,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,0.375,1.25,-0.0,-0.0,-0.0,-0.0,0.75,0.375,-0.0,-0.0,-0.0,2.25,0.125,0.375,-0.0,0.5,-0.0,0.75,0.125,0.375,0.25,0.125,0.375,-0.0,-0.0,0.75,0.25,0.25,-0.0,-0.0,-0.0,0.25,0.75,-0.0,-0.0,0.125,0.25,-0.0,0.375,0.25,0.25,0.625
0.5,-0.0,0.0,0.5,-0.0,0.375,-0.0,0.875,0.25,0.625,0.125,0.5,-0.0,-0.0,0.125,0.375,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,0.125,1.25,-0.0,-0.0,-0.0,-0.0,0.625,0.25,-0.0,0.25,-0.0,2.125,0.25,0.25,0.0,0.25,-0.0,0.625,0.125,0.25,0.375,0.125,0.5,-0.0,-0.0,0.75,0.5,0.125,-0.0,-0.0,-0.0,0.25,0.875,-0.0,-0.0,0.125,0.25,-0.0,0.375,0.25,0.25,0.5
0.5,0.125,-0.0,0.375,-0.0,0.375,-0.0,0.875,0.375,0.875,0.125,0.75,-0.0,0.0,0.25,0.5,-0.0,0.125,-0.0,0.25,-0.0,-0.0,0.125,1.625,-0.0,-0.0,0.125,-0.0,0.375,0.25,-0.0,0.25,-0.0,2.25,0.375,0.125,0.125,0.25,-0.0,0.5,0.125,0.125,0.25,0.125,0.375,-0.0,-0.0,0.125,0.375,0.25,-0.0,-0.0,-0.0,0.125,1.0,0.125,-0.0,0.25,0.125,0.25,0.375,0.375,0.25,0.5
0.5,0.125,-0.0,0.5,-0.0,0.375,0.25,0.875,0.625,0.875,0.125,0.75,-0.0,0.125,-0.0,0.5,0.0,-0.0,-0.0,0.125,-0.0,-0.0,0.25,1.625,-0.0,-0.0,0.125,-0.0,0.5,0.5,0.0,0.25,-0.0,2.125,0.375,0.25,-0.0,0.25,-0.0,0.625,0.375,0.25,0.5,0.375,0.25,-0.0,-0.0,0.75,0.125,0.25,-0.0,-0.0,-0.0,-0.0,1.125,0.125,-0.0,0.375,0.0,0.125,0.375,0.375,0.375,0.375
0.625,-0.0,-0.0,0.5,0.0,0.5,-0.0,0.875,0.375,0.75,0.125,0.25,-0.0,0.0,0.0,0.375,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,0.25,1.375,-0.0,-0.0,0.25,-0.0,0.75,0.375,-0.0,0.25,-0.0,2.0,0.25,0.25,-0.0,0.375,-0.0,0.625,0.125,0.0,0.25,0.125,0.5,-0.0,0.25,0.75,0.25,0.25,-0.0,0.125,-0.0,0.125,0.875,-0.0,-0.0,0.25,0.125,-0.0,0.375,0.25,0.25,0.5
0.625,0.0,-0.0,0.5,-0.0,0.375,-0.0,0.875,0.5,0.75,0.0,0.375,-0.0,-0.0,0.25,0.375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.25,1.375,-0.0,-0.0,0.125,-0.0,0.625,0.25,0.125,0.25,-0.0,2.125,0.375,0.125,0.0,0.375,0.125,0.375,0.125,0.0,0.25,0.125,0.375,-0.0,0.5,0.25,0.25,0.25,-0.0,-0.0,-0.0,0.125,1.0,0.125,0.0,0.125,0.125,-0.0,0.5,0.25,0.25,0.5
0.5,0.0,-0.0,0.5,-0.0,0.375,0.375,1.0,0.625,0.625,0.0,0.25,-0.0,-0.0,0.125,0.25,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,0.125,1.125,-0.0,-0.0,0.125,-0.0,0.375,0.25,0.125,0.375,0.125,2.0,0.5,0.125,0.0,0.125,-0.0,0.375,0.125,0.125,0.25,0.25,0.375,-0.0,0.375,0.5,0.25,0.25,-0.0,-0.0,-0.0,0.0,1.0,0.125,0.125,0.25,0.125,0.25,0.5,0.25,0.375,0.5
0.5,0.0,0.25,0.375,0.125,0.5,0.25,0.875,0.375,1.0,0.125,0.5,-0.0,-0.0,-0.0,0.25,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,0.125,1.875,-0.0,-0.0,0.125,-0.0,0.5,0.25,0.125,0.375,-0.0,2.0,0.375,0.375,0.0,0.25,-0.0,0.5,0.125,0.125,0.375,0.25,0.375,-0.0,0.25,0.375,0.375,0.375,-0.0,-0.0,-0.0,0.0,0.875,-0.0,0.0,0.25,0.0,-0.0,0.25,0.25,0.375,0.375
0.625,0.0,-0.0,0.375,-0.0,0.375,0.125,0.875,0.0,1.125,0.125,0.375,-0.0,0.0,0.0,0.125,-0.0,-0.0,-0.0,0.375,-0.0,-0.0,-0.0,1.875,-0.0,-0.0,0.125,-0.0,0.5,0.625,0.125,0.375,-0.0,2.125,0.5,0.25,0.125,0.125,-0.0,0.625,0.125,0.125,0.375,0.25,0.375,-0.0,-0.0,0.375,0.5,0.25,-0.0,-0.0,-0.0,0.0,1.0,-0.0,0.125,0.25,-0.0,-0.0,0.375,0.375,0.25,0.25
0.75,0.0,0.5,0.25,-0.0,0.5,-0.0,0.875,-0.0,1.125,0.125,0.5,-0.0,0.0,0.25,0.125,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,0.5,0.25,-0.0,0.375,0.125,2.125,0.375,0.125,0.0,0.0,0.0,0.625,0.25,0.0,0.25,0.125,0.5,-0.0,-0.0,0.125,0.25,0.375,-0.0,0.25,-0.0,-0.0,0.875,-0.0,-0.0,0.25,-0.0,-0.0,0.25,0.25,0.375,0.25
0.625,0.0,0.125,0.25,-0.0,0.5,-0.0,0.875,-0.0,0.375,0.125,0.25,-0.0,-0.0,-0.0,0.0,-0.0,0.125,-0.0,0.125,-0.0,-0.0,-0.0,1.125,-0.0,-0.0,-0.0,-0.0,0.5,0.25,-0.0,0.5,0.125,2.125,0.25,0.25,-0.0,0.125,-0.0,0.625,0.25,0.0,0.25,0.125,0.5,-0.0,-0.0,0.0,0.375,0.25,-0.0,-0.0,-0.0,0.125,0.875,0.125,0.125,0.25,-0.0,0.0,0.25,0.25,0.375,0.25
0.75,-0.0,-0.0,0.125,-0.0,0.5,-0.0,0.875,-0.0,0.375,0.125,0.375,-0.0,-0.0,-0.0,-0.0,-0.0,0.125,-0.0,0.125,-0.0,-0.0,-0.0,1.125,-0.0,-0.0,-0.0,-0.0,0.375,0.25,-0.0,0.5,0.125,2.0,0.25,0.125,0.125,0.125,-0.0,0.5,0.125,-0.0,0.25,0.25,0.5,-0.0,-0.0,-0.0,0.375,0.25,-0.0,-0.0,-0.0,-0.0,0.875,0.0,0.0,0.125,-0.0,0.375,0.25,0.25,0.25,0.125
0.75,-0.0,0.125,0.125,-0.0,0.5,-0.0,0.875,-0.0,0.5,0.0,0.375,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.125,-0.0,-0.0,-0.0,1.125,-0.0,-0.0,0.0,-0.0,0.375,0.375,0.0,0.375,0.125,2.0,0.375,0.25,0.0,0.0,-0.0,0.5,-0.0,0.0,0.375,0.125,0.5,-0.0,-0.0,0.125,0.25,0.125,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.125,-0.0,0.125,0.375,0.375,0.25,0.125
0.625,0.0,0.0,0.25,-0.0,0.625,-0.0,0.875,-0.0,0.625,0.0,0.25,-0.0,-0.0,-0.0,0.125,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.125,-0.0,-0.0,0.0,-0.0,0.375,0.375,-0.0,0.5,0.125,2.0,0.25,0.125,0.0,0.0,-0.0,0.5,0.125,0.0,0.375,0.125,0.5,-0.0,-0.0,0.25,0.375,0.375,-0.0,-0.0,-0.0,-0.0,1.0,0.125,-0.0,0.25,-0.0,0.0,0.25,0.25,0.375,0.0
1.125,0.5,0.25,0.25,0.5,0.75,-0.0,1.75,-0.0,0.25,1.375,0.375,-0.0,0.875,0.25,0.25,0.125,0.25,-0.0,0.25,-0.0,-0.0,0.5,1.375,0.25,1.875,0.25,-0.0,0.75,-0.0,-0.0,0.5,1.5,2.625,0.5,0.5,0.75,-0.0,-0.0,0.625,1.125,-0.0,1.375,-0.0,0.375,-0.0,-0.0,0.5,0.5,0.625,-0.0,0.125,0.125,-0.0,0.625,-0.0,-0.0,0.25,-0.0,0.375,0.375,0.125,0.875,0.125
1.125,0.25,0.625,0.625,0.75,1.125,1.0,2.375,1.0,0.75,0.125,-0.0,-0.0,0.375,-0.0,0.625,0.125,0.625,0.125,-0.0,1.125,-0.0,-0.0,1.875,2.375,0.375,0.25,0.5,0.875,0.5,-0.0,0.875,1.125,3.625,0.375,0.25,-0.0,0.5,0.25,1.0,0.375,0.125,0.25,0.375,0.25,-0.0,-0.0,0.125,0.25,0.375,1.625,-0.0,0.125,-0.0,1.375,0.125,0.125,0.5,-0.0,0.0,-0.0,0.5,0.75,0.25
0.75,-0.0,0.0,1.125,0.125,0.5,-0.0,2.125,0.75,0.75,0.125,0.125,-0.0,0.0,-0.0,0.75,-0.0,0.875,-0.0,0.375,1.25,-0.0,0.125,1.625,1.75,-0.0,-0.0,-0.0,0.75,0.125,-0.0,1.0,1.375,2.875,0.125,0.125,0.0,0.625,0.25,1.125,-0.0,-0.0,0.375,0.125,0.375,-0.0,-0.0,0.625,0.375,0.125,0.875,-0.0,0.0,-0.0,1.125,0.125,-0.0,0.125,-0.0,0.375,-0.0,0.375,0.375,0.375
0.625,-0.0,-0.0,1.125,-0.0,0.375,-0.0,2.125,0.75,0.25,0.0,-0.0,-0.0,0.0,-0.0,0.75,-0.0,0.875,-0.0,0.125,1.375,-0.0,0.25,1.0,1.75,-0.0,0.125,-0.0,1.0,0.125,-0.0,0.75,1.375,2.75,0.125,0.25,0.0,0.625,0.125,1.0,0.0,-0.0,0.375,0.25,0.375,-0.0,-0.0,0.25,0.375,0.125,0.875,-0.0,-0.0,-0.0,1.0,0.125,0.0,0.25,-0.0,-0.0,-0.0,0.5,0.375,0.375
0.75,-0.0,-0.0,1.25,-0.0,0.375,-0.0,2.25,0.875,0.125,0.0,-0.0,-0.0,0.0,0.0,0.875,0.0,0.75,-0.0,0.25,1.5,-0.0,0.375,1.0,1.875,-0.0,-0.0,-0.0,1.125,0.125,-0.0,0.625,1.375,2.75,0.125,0.125,0.0,0.75,0.25,1.25,-0.0,-0.0,0.25,0.25,0.5,-0.0,-0.0,0.625,0.375,0.125,1.0,0.125,-0.0,-0.0,1.0,0.125,0.0,0.125,-0.0,-0.0,-0.0,0.375,0.375,0.5
0.75,-0.0,-0.0,1.125,-0.0,0.5,-0.0,2.125,0.625,0.375,0.125,-0.0,-0.0,-0.0,-0.0,0.625,-0.0,0.875,-0.0,0.25,1.375,-0.0,0.25,1.375,1.875,-0.0,-0.0,0.125,1.0,0.25,-0.0,0.625,1.375,2.75,0.125,0.5,-0.0,0.625,0.125,1.125,-0.0,-0.0,0.25,0.125,0.375,-0.0,-0.0,0.25,0.5,0.125,1.0,-0.0,-0.0,0.0,1.0,0.125,0.0,0.125,-0.0,-0.0,-0.0,0.25,0.375,0.625
0.625,-0.0,-0.0,1.125,-0.0,0.5,0.125,2.25,0.875,0.5,0.125,0.0,-0.0,0.125,-0.0,0.875,-0.0,0.875,-0.0,0.25,1.5,-0.0,0.25,1.75,1.5,-0.0,0.125,-0.0,0.875,0.125,-0.0,0.75,1.5,2.625,0.125,0.125,0.0,0.625,0.25,1.25,-0.0,-0.0,0.25,0.25,0.375,-0.0,-0.0,0.25,0.375,0.125,0.875,-0.0,-0.0,-0.0,1.0,0.125,0.125,0.125,-0.0,0.0,-0.0,0.375,0.375,0.25
0.625,-0.0,-0.0,1.25,-0.0,0.375,0.25,2.25,0.875,0.375,-0.0,-0.0,-0.0,0.0,-0.0,0.875,-0.0,0.875,-0.0,0.25,1.625,-0.0,0.125,1.5,1.5,-0.0,0.125,-0.0,1.0,0.125,-0.0,0.75,1.375,2.625,0.125,-0.0,0.0,0.625,0.125,1.125,-0.0,-0.0,0.375,0.25,0.25,-0.0,-0.0,0.5,0.375,0.125,0.75,-0.0,-0.0,-0.0,1.0,0.125,0.125,0.125,-0.0,-0.0,-0.0,0.375,0.25,0.375
0.5,-0.0,0.0,1.25,-0.0,0.5,-0.0,2.25,0.625,0.25,0.0,-0.0,-0.0,0.125,-0.0,0.75,-0.0,0.875,-0.0,0.125,1.625,-0.0,0.125,1.125,1.75,-0.0,0.125,-0.0,1.125,0.125,-0.0,0.5,1.5,2.625,0.25,0.25,0.0,0.625,0.25,1.125,0.0,-0.0,0.25,0.375,0.375,-0.0,-0.0,0.375,0.375,0.125,0.75,-0.0,-0.0,-0.0,1.0,0.0,0.125,0.125,-0.0,-0.0,-0.0,0.375,0.25,0.625
0.5,-0.0,0.0,1.25,-0.0,0.5,0.0,2.25,0.875,0.125,0.0,-0.0,-0.0,-0.0,-0.0,0.875,-0.0,0.875,-0.0,0.125,1.75,-0.0,0.25,1.0,1.75,-0.0,0.125,-0.0,1.125,0.0,-0.0,0.5,1.5,2.5,0.25,0.125,0.0,0.75,0.25,1.25,-0.0,-0.0,0.25,0.375,0.25,-0.0,-0.0,0.25,0.25,0.125,0.875,0.0,-0.0,-0.0,1.0,0.0,0.125,0.125,-0.0,0.125,-0.0,0.375,0.25,0.375
0.625,-0.0,-0.0,1.375,-0.0,0.5,0.125,2.25,0.875,0.125,0.125,-0.0,-0.0,0.0,-0.0,1.0,-0.0,0.875,0.125,0.375,1.75,-0.0,0.25,1.25,1.75,-0.0,0.125,-0.0,1.0,0.25,-0.0,0.5,1.5,2.5,0.125,0.375,-0.0,0.625,0.25,1.25,-0.0,-0.0,0.25,0.25,0.375,-0.0,-0.0,0.875,0.5,0.125,0.875,-0.0,-0.0,-0.0,0.875,0.125,0.25,-0.0,-0.0,-0.0,-0.0,0.375,0.25,0.75
0.625,-0.0,-0.0,1.125,0.125,0.625,-0.0,2.25,0.75,0.5,0.0,0.0,-0.0,-0.0,-0.0,0.75,-0.0,0.875,-0.0,0.25,1.625,-0.0,0.125,1.875,1.625,-0.0,0.125,-0.0,1.0,-0.0,-0.0,0.375,1.5,2.5,0.125,0.125,0.0,0.625,0.25,1.125,-0.0,-0.0,0.25,0.25,0.25,-0.0,-0.0,0.25,0.25,0.125,0.75,-0.0,-0.0,-0.0,0.875,0.0,0.125,-0.0,-0.0,-0.0,-0.0,0.25,0.25,0.5
0.625,-0.0,-0.0,1.25,-0.0,0.5,-0.0,2.25,0.625,0.25,0.0,-0.0,-0.0,0.0,-0.0,0.875,-0.0,0.875,-0.0,0.25,1.75,-0.0,0.125,1.25,1.625,-0.0,0.125,-0.0,1.0,0.125,-0.0,0.375,1.5,2.5,0.25,0.0,0.0,0.625,0.25,0.875,-0.0,-0.0,0.25,0.375,0.375,-0.0,-0.0,0.375,0.25,0.0,0.875,-0.0,-0.0,-0.0,1.0,-0.0,0.25,-0.0,-0.0,-0.0,-0.0,0.5,0.25,0.5
0.5,-0.0,-0.0,1.25,0.125,0.5,-0.0,2.25,0.625,0.375,0.0,-0.0,-0.0,0.0,-0.0,0.75,-0.0,1.0,-0.0,0.125,1.75,-0.0,-0.0,1.5,1.625,-0.0,0.25,-0.0,1.125,-0.0,-0.0,0.25,1.5,2.5,0.125,0.125,0.0,0.625,0.25,1.0,0.0,-0.0,0.375,0.25,0.25,-0.0,-0.0,0.25,0.375,0.125,0.875,-0.0,-0.0,-0.0,1.0,0.0,0.125,0.125,-0.0,-0.0,-0.0,0.375,0.25,0.625
0.5,-0.0,-0.0,1.25,0.125,0.375,-0.0,2.25,0.875,0.375,0.125,-0.0,-0.0,0.0,-0.0,0.875,-0.0,0.875,-0.0,0.25,1.875,-0.0,0.125,1.375,1.25,-0.0,0.25,-0.0,1.125,0.125,-0.0,0.25,1.5,2.5,0.25,0.125,0.0,0.75,0.375,1.125,-0.0,-0.0,0.375,0.25,0.25,-0.0,-0.0,0.375,0.375,-0.0,1.0,-0.0,0.125,-0.0,1.0,0.0,0.25,-0.0,-0.0,-0.0,-0.0,0.375,0.25,0.5
0.375,-0.0,-0.0,1.375,0.125,0.5,-0.0,2.25,0.875,0.375,0.125,-0.0,-0.0,0.0,-0.0,0.875,-0.0,0.875,-0.0,0.25,1.875,-0.0,0.125,1.375,1.5,-0.0,0.25,-0.0,1.125,-0.0,-0.0,0.25,1.5,2.375,0.125,0.25,0.0,0.75,0.25,1.0,-0.0,-0.0,0.375,0.375,0.25,-0.0,-0.0,0.5,0.375,0.0,0.875,-0.0,-0.0,-0.0,1.0,-0.0,0.125,-0.0,-0.0,-0.0,-0.0,0.25,0.25,0.625
0.875,0.375,-0.0,1.0,0.375,0.75,-0.0,2.75,0.625,-0.0,1.375,-0.0,-0.0,1.125,0.5,0.875,0.375,1.25,0.5,0.625,1.75,-0.0,0.5,1.25,1.875,2.125,0.625,-0.0,1.125,0.0,0.25,0.5,2.125,3.0,0.375,0.75,0.875,0.625,0.375,1.0,1.0,-0.0,1.125,0.125,0.5,-0.0,0.5,0.625,0.875,0.375,1.0,0.125,0.375,0.125,0.5,0.125,0.25,-0.0,-0.0,0.0,0.125,0.75,0.75,0.75
